trainno, train_line
7413, Chestnut Hill East (Inbound)
743, Chestnut Hill East (Inbound)
743, Trenton (Outbound)
7439, Chestnut Hill East (Inbound)
746, Chestnut Hill East (Outbound)
746, Trenton (Inbound)
7534, Glenside (Outbound)
7534, Lansdale/Doylestown (Outbound)
7534, Trenton (Inbound)
754, Chestnut Hill East (Outbound)
754, Trenton (Inbound)
757, Chestnut Hill East (Inbound)
757, Trenton (Outbound)
758, Chestnut Hill East (Outbound)
758, Trenton (Inbound)
759, Chestnut Hill East (Inbound)
759, Trenton (Outbound)
765, Chestnut Hill East (Inbound)
765, Trenton (Outbound)
768, Chestnut Hill East (Outbound)
768, Trenton (Inbound)
769, Chestnut Hill East (Inbound)
769, Trenton (Outbound)
772, Chestnut Hill East (Outbound)
772, Trenton (Inbound)
773, Chestnut Hill East (Inbound)
773, Trenton (Outbound)
774, Chestnut Hill East (Outbound)
774, Trenton (Inbound)
776, Chestnut Hill East (Outbound)
776, Trenton (Inbound)
777, Chestnut Hill East (Inbound)
777, Trenton (Outbound)
778, Chestnut Hill East (Outbound)
778, Trenton (Inbound)
780, Chestnut Hill East (Outbound)
780, Trenton (Inbound)
783, Chestnut Hill East (Inbound)
783, Trenton (Outbound)
7841, Chestnut Hill West (Outbound)
7842, Fox Chase (Outbound)
7842, Trenton (Inbound)
7843, Chestnut Hill East (Inbound)
7843, Chestnut Hill West (Outbound)
7845, Chestnut Hill East (Inbound)
7845, Chestnut Hill West (Outbound)
7865, Chestnut Hill East (Inbound)
7865, Chestnut Hill West (Outbound)
805, Chestnut Hill West (Outbound)
805, Fox Chase (Inbound)
807, Chestnut Hill West (Outbound)
807, Fox Chase (Inbound)
809, Chestnut Hill West (Outbound)
809, Fox Chase (Inbound)
811, Chestnut Hill West (Outbound)
811, Fox Chase (Inbound)
812, Chestnut Hill West (Inbound)
812, Fox Chase (Outbound)
813, Chestnut Hill West (Outbound)
813, Fox Chase (Inbound)
814, Chestnut Hill West (Inbound)
814, Fox Chase (Outbound)
816, Chestnut Hill West (Inbound)
816, Fox Chase (Outbound)
818, Chestnut Hill West (Inbound)
818, Fox Chase (Outbound)
819, Chestnut Hill West (Outbound)
819, Fox Chase (Inbound)
822, Chestnut Hill West (Inbound)
822, Fox Chase (Outbound)
823, Chestnut Hill West (Outbound)
823, Fox Chase (Inbound)
8230, Chestnut Hill West (Inbound)
8230, Manayunk/Norristown (Outbound)
826, Chestnut Hill West (Inbound)
826, Fox Chase (Outbound)
8266, Chestnut Hill West (Inbound)
8266, Manayunk/Norristown (Outbound)
827, Chestnut Hill West (Outbound)
827, Fox Chase (Inbound)
8270, Chestnut Hill West (Inbound)
8270, Manayunk/Norristown (Outbound)
828, Chestnut Hill West (Inbound)
828, Fox Chase (Outbound)
829, Chestnut Hill West (Outbound)
829, Fox Chase (Inbound)
830, Chestnut Hill West (Inbound)
830, Fox Chase (Outbound)
831, Chestnut Hill West (Outbound)
831, Fox Chase (Inbound)
832, Chestnut Hill West (Inbound)
832, Fox Chase (Outbound)
833, Chestnut Hill West (Outbound)
833, Fox Chase (Inbound)
834, Chestnut Hill West (Inbound)
834, Fox Chase (Outbound)
835, Chestnut Hill West (Outbound)
835, Fox Chase (Inbound)
838, Chestnut Hill West (Inbound)
838, Fox Chase (Outbound)
839, Chestnut Hill West (Outbound)
839, Fox Chase (Inbound)
8453, Airport (Outbound)
8453, Fox Chase (Inbound)
846, Chestnut Hill West (Inbound)
846, Fox Chase (Outbound)
849, Chestnut Hill West (Outbound)
849, Fox Chase (Inbound)
850, Chestnut Hill West (Inbound)
850, Fox Chase (Outbound)
851, Chestnut Hill West (Outbound)
8517, Fox Chase (Inbound)
8517, Paoli/Thorndale (Outbound)
852, Chestnut Hill West (Inbound)
852, Fox Chase (Outbound)
853, Chestnut Hill West (Outbound)
853, Fox Chase (Inbound)
857, Chestnut Hill West (Outbound)
857, Fox Chase (Inbound)
860, Chestnut Hill West (Inbound)
860, Fox Chase (Outbound)
861, Chestnut Hill West (Outbound)
861, Fox Chase (Inbound)
864, Chestnut Hill West (Inbound)
864, Fox Chase (Outbound)
866, Chestnut Hill West (Inbound)
866, Fox Chase (Outbound)
867, Chestnut Hill West (Outbound)
867, Fox Chase (Inbound)
868, Chestnut Hill West (Inbound)
868, Fox Chase (Outbound)
8721, Fox Chase (Inbound)
8721, Trenton (Outbound)
8749, Fox Chase (Inbound)
8749, Trenton (Outbound)
8752, Chestnut Hill East (Outbound)
8752, Chestnut Hill West (Inbound)
8764, Chestnut Hill East (Outbound)
8764, Chestnut Hill West (Inbound)
8775, Fox Chase (Inbound)
8775, Trenton (Outbound)
9212, Wilmington/Newark (Inbound)
